NAME,B19083_001E,state,county
"Independence County, Arkansas",0.4813,5,63
"Izard County, Arkansas",0.4617,5,65
"Jackson County, Arkansas",0.499,5,67
"Jefferson County, Arkansas",0.4701,5,69
"Johnson County, Arkansas",0.4543,5,71
"Lafayette County, Arkansas",0.4612,5,73
"Lawrence County, Arkansas",0.4559,5,75
"Lee County, Arkansas",0.5712,5,77
"Lincoln County, Arkansas",0.4482,5,79
"Little River County, Arkansas",0.4393,5,81
"Logan County, Arkansas",0.4442,5,83
"Lonoke County, Arkansas",0.4147,5,85
"Madison County, Arkansas",0.4318,5,87
"Marion County, Arkansas",0.4306,5,89
"Miller County, Arkansas",0.4889,5,91
"Mississippi County, Arkansas",0.5001,5,93
"Monroe County, Arkansas",0.4573,5,95
"Montgomery County, Arkansas",0.4584,5,97
"Nevada County, Arkansas",0.4593,5,99
"Newton County, Arkansas",0.4094,5,101
"Ouachita County, Arkansas",0.4379,5,103
"Perry County, Arkansas",0.4256,5,105
"Phillips County, Arkansas",0.5038,5,107
"Pike County, Arkansas",0.4923,5,109
"Poinsett County, Arkansas",0.465,5,111
"Polk County, Arkansas",0.5079,5,113
"Pope County, Arkansas",0.4684,5,115
"Prairie County, Arkansas",0.4614,5,117
"Pulaski County, Arkansas",0.5117,5,119
"Randolph County, Arkansas",0.4478,5,121
"St. Francis County, Arkansas",0.5019,5,123
"Saline County, Arkansas",0.4152,5,125
"Scott County, Arkansas",0.4098,5,127
"Searcy County, Arkansas",0.4349,5,129
"Sebastian County, Arkansas",0.5064,5,131
"Sevier County, Arkansas",0.4758,5,133
"Sharp County, Arkansas",0.5054,5,135
"Stone County, Arkansas",0.4531,5,137
"Union County, Arkansas",0.5036,5,139
"Van Buren County, Arkansas",0.4406,5,141
"Washington County, Arkansas",0.4827,5,143
"White County, Arkansas",0.4571,5,145
"Woodruff County, Arkansas",0.4879,5,147
"Yell County, Arkansas",0.3963,5,149
"Alameda County, California",0.474,6,1
"Alpine County, California",0.5276,6,3
"Amador County, California",0.4458,6,5
"Butte County, California",0.4846,6,7
"Calaveras County, California",0.443,6,9
"Colusa County, California",0.4547,6,11
"Contra Costa County, California",0.4708,6,13
"Del Norte County, California",0.4291,6,15
"El Dorado County, California",0.4731,6,17
"Fresno County, California",0.4735,6,19
"Glenn County, California",0.4001,6,21
"Humboldt County, California",0.4857,6,23
"Imperial County, California",0.4617,6,25
"Inyo County, California",0.439,6,27
"Kern County, California",0.4645,6,29
"Kings County, California",0.4211,6,31
"Lake County, California",0.4867,6,33
"Lassen County, California",0.421,6,35
