State FIPS,County FIPS,County Name,State Name,Direction of Change
42,101,"Philadelphia County, PA",Pennsylvania,Decrease
44,003,"Kent County, RI",Rhode Island,Increase
44,005,"Newport County, RI",Rhode Island,Increase
44,007,"Providence County, RI",Rhode Island,Decrease
44,009,"Washington County, RI",Rhode Island,Increase
45,011,"Barnwell County, SC",South Carolina,Increase
45,019,"Charleston County, SC",South Carolina,Decrease
45,043,"Georgetown County, SC",South Carolina,Decrease
45,057,"Lancaster County, SC",South Carolina,Decrease
45,079,"Richland County, SC",South Carolina,Increase
45,087,"Union County, SC",South Carolina,Increase
45,089,"Williamsburg County, SC",South Carolina,Decrease
45,091,"York County, SC",South Carolina,Decrease
46,005,"Beadle County, SD",South Dakota,Increase
46,011,"Brookings County, SD",South Dakota,Decrease
46,017,"Buffalo County, SD",South Dakota,Decrease
46,043,"Douglas County, SD",South Dakota,Decrease
46,102,"Oglala Lakota County, SD",South Dakota,Decrease
46,109,"Roberts County, SD",South Dakota,Decrease
46,119,"Sully County, SD",South Dakota,Decrease
47,003,"Bedford County, TN",Tennessee,Decrease
47,029,"Cocke County, TN",Tennessee,Decrease
47,037,"Davidson County, TN",Tennessee,Decrease
47,049,"Fentress County, TN",Tennessee,Decrease
47,059,"Greene County, TN",Tennessee,Decrease
47,089,"Jefferson County, TN",Tennessee,Decrease
47,121,"Meigs County, TN",Tennessee,Decrease
47,129,"Morgan County, TN",Tennessee,Decrease
47,133,"Overton County, TN",Tennessee,Decrease
47,141,"Putnam County, TN",Tennessee,Decrease
47,149,"Rutherford County, TN",Tennessee,Decrease
47,157,"Shelby County, TN",Tennessee,Decrease
47,171,"Unicoi County, TN",Tennessee,Decrease
47,173,"Union County, TN",Tennessee,Decrease
47,185,"White County, TN",Tennessee,Decrease
48,003,"Andrews County, TX",Texas,Decrease
48,029,"Bexar County, TX",Texas,Decrease
48,033,"Borden County, TX",Texas,Increase
48,035,"Bosque County, TX",Texas,Decrease
48,061,"Cameron County, TX",Texas,Decrease
48,091,"Comal County, TX",Texas,Decrease
48,113,"Dallas County, TX",Texas,Decrease
48,121,"Denton County, TX",Texas,Decrease
48,135,"Ector County, TX",Texas,Decrease
48,139,"Ellis County, TX",Texas,Decrease
48,141,"El Paso County, TX",Texas,Decrease
48,145,"Falls County, TX",Texas,Decrease
48,149,"Fayette County, TX",Texas,Decrease
48,165,"Gaines County, TX",Texas,Decrease
48,209,"Hays County, TX",Texas,Decrease
48,215,"Hidalgo County, TX",Texas,Decrease
48,221,"Hood County, TX",Texas,Decrease
48,227,"Howard County, TX",Texas,Decrease
48,231,"Hunt County, TX",Texas,Decrease
48,265,"Kerr County, TX",Texas,Decrease
48,269,"King County, TX",Texas,Decrease
48,301,"Loving County, TX",Texas,Decrease
48,317,"Martin County, TX",Texas,Decrease
48,321,"Matagorda County, TX",Texas,Decrease
48,323,"Maverick County, TX",Texas,Decrease
48,329,"Midland County, TX",Texas,Decrease
48,359,"Oldham County, TX",Texas,Decrease
48,375,"Potter County, TX",Texas,Decrease
48,389,"Reeves County, TX",Texas,Decrease
48,393,"Roberts County, TX",Texas,Increase
48,439,"Tarrant County, TX",Texas,Decrease
